Player,Free Agent Year,Age,Actual AAV % Cap,Predicted AAV % Cap,Difference,Absolute Difference,Contract Evaluation,Predicted Future VORP,Future VORP Percentile,Future Production Rank,Future Production Tier,Future VORP per 1% Cap,Cap Efficiency Rank,Notes
Charles Bassey,2026,25.0,0.0173,0.017346040452189845,4.604045218984526e-05,4.604045218984526e-05,Fair Value,0.3420284332130903,59.4,44,Average,0.1977042966549655,24,
Jalen Slawson,2026,26.0,0.0040999999999999995,0.005061133582770563,0.0009611335827705639,0.0009611335827705639,Fair Value,0.24991266954254188,49.1,55,Average,0.6095430964452242,9,
Josh Okogie,2026,27.0,0.0364,0.03873297816259048,0.0023329781625904752,0.0023329781625904752,Fair Value,0.5860673770648146,75.5,27,Above Average,0.16100752117165235,30,
Kobe Sanders,2026,23.0,0.0171,0.01996256314060418,0.0028625631406041796,0.0028625631406041796,Fair Value,0.03701692427373582,23.6,82,Below Average,0.021647324136687615,79,
Jamir Watkins,2026,24.0,0.0040999999999999995,0.007403493753874751,0.003303493753874752,0.003303493753874752,Fair Value,0.0011044370225902211,15.1,91,Below Average,0.0026937488355859057,91,
Jordan Miller,2026,26.0,0.030899999999999997,0.03421661136640158,0.0033166113664015798,0.0033166113664015798,Fair Value,0.6054761024513169,76.4,26,Above Average,0.19594695872210904,25,
Chucky Hepburn,2026,22.0,0.0,0.003492536142255691,0.003492536142255691,0.003492536142255691,Fair Value,-0.12574910010571289,5.7,101,Low,-inf,105,
Tim Hardaway Jr.,2026,33.0,0.0368,0.04093564436571174,0.0041356443657117395,0.0041356443657117395,Fair Value,0.2722789815064975,50.0,54,Average,0.07398885367024388,60,
Khris Middleton,2026,34.0,0.0356,0.040373993569010176,0.0047739935690101765,0.0047739935690101765,Fair Value,-0.42471300665960215,2.8,104,Low,-0.11930140636505679,101,
Enrique Freeman,2026,25.0,0.0,0.005113964235826413,0.005113964235826413,0.005113964235826413,Fair Value,-0.04652642375114041,10.4,96,Below Average,-inf,105,
